Review,Sentiment
This movie is horrible. I hate it.,negative
This movie is great very good! I loved it.,positive
This movie is disappointing. I dislike it.,negative
This movie is excellent incredibly good! I loved it.,positive
This movie is great extremely good! I loved it.,positive
This movie is horrible. I hate it.,negative
This movie is excellent extremely good! I loved it.,positive
This movie is excellent incredibly good! I loved it.,positive
This movie is disappointing. I regret it.,negative
This movie is awful. I dislike it.,negative
This movie is excellent very good! I loved it.,positive
This movie is great extremely good! I loved it.,positive
This movie is terrible. I dislike it.,negative
This movie is fantastic incredibly good! I loved it.,positive
This movie is wonderful incredibly good! I loved it.,positive
This movie is wonderful extremely good! I loved it.,positive
This movie is great extremely good! I loved it.,positive
This movie is horrible. I hate it.,negative
This movie is amazing incredibly good! I loved it.,positive
This movie is disappointing. I hate it.,negative
This movie is terrible. I dislike it.,negative
This movie is wonderful very good! I loved it.,positive
This movie is great very good! I loved it.,positive
This movie is wonderful highly good! I loved it.,positive
This movie is bad. I dislike it.,negative
This movie is terrible. I regret it.,negative
This movie is disappointing. I regret it.,negative
This movie is terrible. I regret it.,negative
This movie is amazing incredibly good! I loved it.,positive
This movie is horrible. I dislike it.,negative
This movie is awful. I hate it.,negative
This movie is terrible. I dislike it.,negative
This movie is terrible. I regret it.,negative
This movie is amazing highly good! I loved it.,positive
This movie is amazing very good! I loved it.,positive
This movie is fantastic highly good! I loved it.,positive
This movie is amazing extremely good! I loved it.,positive
This movie is great highly good! I loved it.,positive
This movie is terrible. I hate it.,negative
This movie is bad. I regret it.,negative
This movie is fantastic incredibly good! I loved it.,positive
This movie is fantastic highly good! I loved it.,positive
This movie is great very good! I loved it.,positive
This movie is amazing highly good! I loved it.,positive
This movie is amazing extremely good! I loved it.,positive
This movie is disappointing. I hate it.,negative
This movie is bad. I hate it.,negative
This movie is disappointing. I dislike it.,negative
This movie is disappointing. I hate it.,negative
This movie is wonderful incredibly good! I loved it.,positive
This movie is fantastic highly good! I loved it.,positive
This movie is horrible. I regret it.,negative
This movie is bad. I regret it.,negative
This movie is fantastic very good! I loved it.,positive
This movie is horrible. I regret it.,negative
This movie is horrible. I regret it.,negative
This movie is great very good! I loved it.,positive
This movie is excellent very good! I loved it.,positive
This movie is amazing very good! I loved it.,positive
This movie is great highly good! I loved it.,positive
This movie is fantastic highly good! I loved it.,positive
This movie is awful. I dislike it.,negative
This movie is disappointing. I regret it.,negative
This movie is horrible. I regret it.,negative
This movie is terrible. I hate it.,negative
This movie is disappointing. I hate it.,negative
This movie is awful. I hate it.,negative
This movie is awful. I regret it.,negative
This movie is horrible. I regret it.,negative
This movie is wonderful incredibly good! I loved it.,positive
This movie is disappointing. I hate it.,negative
This movie is bad. I hate it.,negative
This movie is amazing extremely good! I loved it.,positive
This movie is excellent very good! I loved it.,positive
This movie is awful. I regret it.,negative
This movie is fantastic incredibly good! I loved it.,positive
This movie is great very good! I loved it.,positive
This movie is horrible. I hate it.,negative
This movie is excellent very good! I loved it.,positive
This movie is excellent incredibly good! I loved it.,positive
This movie is bad. I regret it.,negative
This movie is awful. I dislike it.,negative
This movie is great incredibly good! I loved it.,positive
This movie is terrible. I regret it.,negative
This movie is awful. I dislike it.,negative
This movie is disappointing. I regret it.,negative
This movie is bad. I regret it.,negative
This movie is fantastic very good! I loved it.,positive
This movie is disappointing. I regret it.,negative
This movie is awful. I hate it.,negative
This movie is wonderful incredibly good! I loved it.,positive
This movie is horrible. I hate it.,negative
This movie is fantastic very good! I loved it.,positive
This movie is fantastic very good! I loved it.,positive
This movie is awful. I regret it.,negative
This movie is terrible. I regret it.,negative
This movie is horrible. I dislike it.,negative
This movie is terrible. I dislike it.,negative
This movie is bad. I dislike it.,negative
This movie is terrible. I regret it.,negative
This movie is wonderful incredibly good! I loved it.,positive
This movie is disappointing. I hate it.,negative
This movie is wonderful highly good! I loved it.,positive
This movie is excellent extremely good! I loved it.,positive
This movie is great very good! I loved it.,positive
This movie is bad. I regret it.,negative
This movie is fantastic incredibly good! I loved it.,positive
This movie is horrible. I dislike it.,negative
This movie is fantastic highly good! I loved it.,positive
This movie is fantastic very good! I loved it.,positive
This movie is fantastic very good! I loved it.,positive
This movie is excellent very good! I loved it.,positive
This movie is awful. I dislike it.,negative
